district,population,total_cases,total_incidence_100k,inc_cases
LK Lippe,347514,0,0.0000,0
LK Minden-Lübbecke,310409,0,0.0000,0
LK Paderborn,307839,0,0.0000,0
SK Duisburg,498686,4,0.8021,0
SK Düsseldorf,621877,34,5.4673,1
SK Essen,582760,12,2.0592,0
LK Kleve,312465,1,0.3200,0
SK Krefeld,227417,1,0.4397,0
LK Mettmann,485570,5,1.0297,0
SK Mönchengladbach,261034,1,0.3831,1
SK Mülheim a.d.Ruhr,170632,1,0.5861,0
SK Oberhausen,210764,1,0.4745,0
SK Remscheid,111338,0,0.0000,0
LK Rhein-Kreis Neuss,451730,4,0.8855,1
SK Solingen,159245,1,0.6280,0
LK Viersen,298863,1,0.3346,0
LK Wesel,459976,3,0.6522,0
SK Wuppertal,355100,4,1.1264,0
StädteRegion Aachen,0,5,0.0000,1
SK Bonn,329673,10,3.0333,2
LK Düren,264638,2,0.7557,1
LK Euskirchen,193656,2,1.0328,1
LK Heinsberg,255555,1,0.3913,0
SK Köln,1087863,149,13.6966,27
SK Leverkusen,163729,1,0.6108,0
LK Oberbergischer Kreis,272057,3,1.1027,0
LK Rhein-Erft-Kreis,470615,6,1.2749,2
LK Rheinisch-Bergischer Kreis,283271,0,0.0000,0
LK Rhein-Sieg-Kreis,600764,3,0.4994,0
LK Borken,371339,1,0.2693,0
SK Bottrop,117565,0,0.0000,0
LK Coesfeld,220586,1,0.4533,0
SK Gelsenkirchen,259645,1,0.3851,0
SK Münster,315293,4,1.2687,0
LK Recklinghausen,614137,2,0.3257,0
LK Steinfurt,448220,1,0.2231,0
LK Warendorf,277840,0,0.0000,0
LK Ahrweiler,130086,0,0.0000,0
LK Altenkirchen,128805,0,0.0000,0
LK Bad Kreuznach,158345,0,0.0000,0
LK Birkenfeld,80951,0,0.0000,0
LK Cochem-Zell,61375,0,0.0000,0
SK Koblenz,114052,0,0.0000,0
LK Mayen-Koblenz,214434,0,0.0000,0
LK Neuwied,182811,0,0.0000,0
LK Rhein-Hunsrück-Kreis,103163,1,0.9693,0
LK Rhein-Lahn-Kreis,122297,0,0.0000,0
LK Westerwaldkreis,201904,1,0.4953,0
LK Alzey-Worms,129687,0,0.0000,0
LK Bad Dürkheim,132671,0,0.0000,0
LK Donnersbergkreis,75325,0,0.0000,0
SK Frankenthal,48762,0,0.0000,0
LK Germersheim,129013,1,0.7751,0
SK Kaiserslautern,100030,1,0.9997,0
LK Kaiserslautern,105979,0,0.0000,0
LK Kusel,70219,1,1.4241,0
SK Landau i.d.Pfalz,46881,0,0.0000,0
SK Ludwigshafen,172253,0,0.0000,0
SK Mainz,218578,1,0.4575,0
LK Mainz-Bingen,211417,0,0.0000,0
SK Neustadt a.d.Weinstraße,53264,0,0.0000,0
SK Pirmasens,40231,0,0.0000,0
LK Rhein-Pfalz-Kreis,154609,0,0.0000,0
SK Speyer,50561,0,0.0000,0
LK Südliche Weinstraße,110521,0,0.0000,0
LK Südwestpfalz,94831,0,0.0000,0
SK Worms,83542,0,0.0000,0
