index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
SK Berlin Spandau,11,0,0,0,0,0,4,1,2,1,1,0,0,1,1,0,0,0,0
SK Berlin Steglitz-Zehlendorf,30,0,0,0,0,0,7,3,8,9,0,2,1,0,0,0,0,0,0
SK Berlin Tempelhof-Schöneberg,275,0,0,0,1,9,20,47,56,47,28,22,30,10,2,2,1,0,0
SK Berlin Treptow-Köpenick,30,0,0,0,0,1,10,7,4,4,1,1,1,1,0,0,0,0,0
LK Barnim,6,0,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0
SK Brandenburg a.d.Havel,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SK Cottbus,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LK Dahme-Spreewald,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LK Elbe-Elster,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SK Frankfurt (Oder),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Havelland,7,0,0,0,0,1,0,2,1,1,0,2,0,0,0,0,0,0,0
LK Märkisch-Oderland,4,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
LK Oberhavel,7,0,0,0,0,0,0,1,1,2,0,1,0,2,0,0,0,0,0
LK Oberspreewald-Lausitz,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LK Oder-Spree,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
LK Ostprignitz-Ruppin,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
SK Potsdam,9,0,0,0,0,1,0,4,1,2,0,1,0,0,0,0,0,0,0
LK Potsdam-Mittelmark,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Prignitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Spree-Neiße,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Teltow-Fläming,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
LK Uckermark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Bremen,12,0,0,0,0,2,4,1,3,0,0,1,0,1,0,0,0,0,0
SK Bremerhaven,4,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
